# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 11 05:36:40 2015
#
# CONSTRAINT:  where (koi_disposition like 'CONFIRMED'
# CONSTRAINT:  )
# CONSTRAINT:  order by rowid asc, koi_period desc
#
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
rowid	kepler_name	koi_disposition	koi_period	koi_period_err1	koi_period_err2	koi_prad	koi_prad_err1	koi_prad_err2	koi_teq	koi_teq_err1	koi_teq_err2	koi_steff	koi_steff_err1	koi_steff_err2	koi_slogg	koi_slogg_err1	koi_slogg_err2	koi_srad	koi_srad_err1	koi_srad_err2
24	Kepler-226 d	CONFIRMED	8.109046710	7.4770000e-05	-7.4770000e-05	1.19	4.400e-01	-9.000e-02	799.0			5559.00	167.00	-141.00	4.572	0.028	-0.242	0.8060	0.2970	-0.0600
33	Kepler-229 d	CONFIRMED	41.197087400	1.0190000e-04	-1.0190000e-04	3.62	6.100e-01	-2.700e-01	417.0			5126.00	160.00	-138.00	4.609	0.027	-0.106	0.7420	0.1250	-0.0550
34	Kepler-229 b	CONFIRMED	6.252964898	9.4420000e-06	-9.4420000e-06	2.41	4.000e-01	-1.800e-01	782.0			5126.00	160.00	-138.00	4.609	0.027	-0.106	0.7420	0.1250	-0.0550
36	Kepler-230 b	CONFIRMED	32.628829750	9.5940000e-05	-9.5940000e-05	3791.05	1.667e+03	-3.001e+02	506.0			5588.00	167.00	-141.00	4.563	0.035	-0.276	0.7960	0.3500	-0.0630
37	Kepler-230 c	CONFIRMED	91.772210000	1.0040000e-03	-1.0040000e-03	2.13	9.400e-01	-1.700e-01	358.0			5588.00	167.00	-141.00	4.563	0.035	-0.276	0.7960	0.3500	-0.0630
42	Kepler-105 b	CONFIRMED	5.412207130	2.4880000e-06	-2.4880000e-06	3.28	1.790e+00	-6.600e-01	1306.0			6391.00	157.00	-204.00	4.226	0.166	-0.287	1.3320	0.7270	-0.2690
49	Kepler-232 b	CONFIRMED	4.431242593	6.1100000e-06	-6.1100000e-06	3.07	1.380e+00	-2.400e-01	1074.0			5841.00	170.00	-197.00	4.520	0.030	-0.319	0.9310	0.4170	-0.0730
50	Kepler-232 c	CONFIRMED	11.379380710	2.2790000e-05	-2.2790000e-05	3.74	1.670e+00	-2.900e-01	784.0			5841.00	170.00	-197.00	4.520	0.030	-0.319	0.9310	0.4170	-0.0730
52	Kepler-106 c	CONFIRMED	13.570766220	1.6240000e-05	-1.6240000e-05	2.35	4.200e-01	-2.300e-01	796.0			5881.00	112.00	-120.00	4.388	0.087	-0.142	1.0290	0.1860	-0.1000
53	Kepler-105 c	CONFIRMED	7.125945910	1.2500000e-05	-1.2500000e-05	1.88	1.020e+00	-3.800e-01	1191.0			6391.00	157.00	-204.00	4.226	0.166	-0.287	1.3320	0.7270	-0.2690
55	Kepler-52 c	CONFIRMED	16.384856460	3.6400000e-05	-3.6400000e-05	1.81	2.300e-01	-2.400e-01	392.0			3898.00	177.00	-77.00	4.721	0.078	-0.078	0.5400	0.0700	-0.0700
56	Kepler-52 b	CONFIRMED	7.877407090	1.1190000e-05	-1.1190000e-05	2.33	3.000e-01	-3.000e-01	500.0			3898.00	177.00	-77.00	4.721	0.078	-0.078	0.5400	0.0700	-0.0700
57	Kepler-52 d	CONFIRMED	36.445198200	1.2840000e-04	-1.2840000e-04	1.80	2.300e-01	-2.300e-01	300.0			3898.00	177.00	-77.00	4.721	0.078	-0.078	0.5400	0.0700	-0.0700
68	Kepler-231 c	CONFIRMED	19.271546800	4.4040000e-05	-4.4040000e-05	1.73	2.200e-01	-2.100e-01	343.0			3767.00	135.00	-51.00	4.783	0.075	-0.075	0.4800	0.0600	-0.0600
69	Kepler-231 b	CONFIRMED	10.065258430	1.7830000e-05	-1.7830000e-05	1.61	2.100e-01	-2.000e-01	426.0			3767.00	135.00	-51.00	4.783	0.075	-0.075	0.4800	0.0600	-0.0600
71	Kepler-106 e	CONFIRMED	43.844443530	9.6880000e-05	-9.6880000e-05	2.58	4.700e-01	-2.500e-01	538.0			5881.00	112.00	-120.00	4.388	0.087	-0.142	1.0290	0.1860	-0.1000
74	Kepler-234 b	CONFIRMED	2.711502579	4.1340000e-06	-4.1340000e-06	3.62	1.820e+00	-3.300e-01	1405.0			6167.00	174.00	-203.00	4.444	0.043	-0.314	1.0640	0.5360	-0.0970
75	Kepler-234 c	CONFIRMED	7.212041520	1.4830000e-05	-1.4830000e-05	3.51	1.760e+00	-3.200e-01	1015.0			6167.00	174.00	-203.00	4.444	0.043	-0.314	1.0640	0.5360	-0.0970
77	Kepler-233 b	CONFIRMED	8.472378440	1.4620000e-05	-1.4620000e-05	2.71	5.700e-01	-2.100e-01	752.0			5354.00	161.00	-142.00	4.587	0.027	-0.140	0.7880	0.1660	-0.0600
78	Kepler-233 c	CONFIRMED	60.418613700	3.9600000e-04	-3.9600000e-04	2.72	5.700e-01	-2.100e-01	390.0			5354.00	161.00	-142.00	4.587	0.027	-0.140	0.7880	0.1660	-0.0600
86	Kepler-235 d	CONFIRMED	20.060374540	5.4350000e-05	-5.4350000e-05	1.99	2.900e-01	-2.900e-01	350.0			3887.00	188.00	-78.00	4.783	0.087	-0.087	0.4800	0.0700	-0.0700
87	Kepler-235 e	CONFIRMED	46.184150000	2.4510000e-04	-2.4510000e-04	1.94	2.900e-01	-2.800e-01	265.0			3887.00	188.00	-78.00	4.783	0.087	-0.087	0.4800	0.0700	-0.0700
88	Kepler-106 d	CONFIRMED	23.980234800	1.8330000e-04	-1.8330000e-04	0.99	1.800e-01	-9.000e-02	658.0			5881.00	112.00	-120.00	4.388	0.087	-0.142	1.0290	0.1860	-0.1000
89	Kepler-235 c	CONFIRMED	7.825012060	3.9660000e-05	-3.9660000e-05	1.22	1.700e-01	-1.800e-01	478.0			3887.00	188.00	-78.00	4.783	0.087	-0.087	0.4800	0.0700	-0.0700
97	Kepler-30 d	CONFIRMED	143.206351800	1.9320000e-04	-1.9320000e-04	9.36	9.900e-01	-3.700e-01	308.0			5485.00	99.00	-112.00	4.556	0.014	-0.094	0.8670	0.0920	-0.0340
98	Kepler-106 b	CONFIRMED	6.164916960	4.8650000e-05	-4.8650000e-05	0.85	1.500e-01	-9.000e-02	1035.0			5881.00	112.00	-120.00	4.388	0.087	-0.142	1.0290	0.1860	-0.1000
99	Kepler-30 c	CONFIRMED	60.324886110	2.6350000e-05	-2.6350000e-05	12.88	1.360e+00	-5.100e-01	411.0			5485.00	99.00	-112.00	4.556	0.014	-0.094	0.8670	0.0920	-0.0340
100	Kepler-30 b	CONFIRMED	29.159861500	2.5340000e-04	-2.5340000e-04	1.91	2.000e-01	-7.000e-02	524.0			5485.00	99.00	-112.00	4.556	0.014	-0.094	0.8670	0.0920	-0.0340
106	Kepler-235 b	CONFIRMED	3.340219950	3.1300000e-06	-3.1300000e-06	2.18	3.200e-01	-3.200e-01	635.0			3887.00	188.00	-78.00	4.783	0.087	-0.087	0.4800	0.0700	-0.0700
108	Kepler-53 b	CONFIRMED	18.649296780	4.9590000e-05	-4.9590000e-05	2.90	1.120e+00	-2.700e-01	700.0			6079.00	163.00	-199.00	4.495	0.045	-0.284	0.9450	0.3640	-0.0880
109	Kepler-107 c	CONFIRMED	4.901438070	1.0440000e-05	-1.0440000e-05	1.84	6.000e-02	-6.000e-02	1263.0			5851.00	75.00	-75.00	4.192	0.019	-0.019	1.4110	0.0470	-0.0470
110	Kepler-53 d	CONFIRMED	9.751931820	4.5860000e-05	-4.5860000e-05	2.44	9.400e-01	-2.300e-01	869.0			6079.00	163.00	-199.00	4.495	0.045	-0.284	0.9450	0.3640	-0.0880
111	Kepler-53 c	CONFIRMED	38.557591400	2.1010000e-04	-2.1010000e-04	3.57	1.370e+00	-3.300e-01	550.0			6079.00	163.00	-199.00	4.495	0.045	-0.284	0.9450	0.3640	-0.0880
112	Kepler-428 b	CONFIRMED	3.525632561	1.5400000e-07	-1.5400000e-07	11.87	1.440e+00	-8.100e-01	955.0			5071.00	163.00	-134.00	4.580	0.024	-0.088	0.7880	0.0960	-0.0540
115	Kepler-236 c	CONFIRMED	23.967993200	8.3510000e-05	-8.3510000e-05	1.85	2.200e-01	-2.100e-01	325.0			3750.00	66.00	-60.00	4.755	0.070	-0.070	0.5100	0.0600	-0.0600
116	Kepler-236 b	CONFIRMED	8.295594310	2.1310000e-05	-2.1310000e-05	1.53	1.800e-01	-1.800e-01	462.0			3750.00	66.00	-60.00	4.755	0.070	-0.070	0.5100	0.0600	-0.0600
121	Kepler-107 e	CONFIRMED	14.749135180	2.2190000e-05	-2.2190000e-05	3.07	1.000e-01	-1.100e-01	875.0			5851.00	75.00	-75.00	4.192	0.019	-0.019	1.4110	0.0470	-0.0470
126	Kepler-237 c	CONFIRMED	8.103613630	1.9620000e-05	-1.9620000e-05	2.27	2.500e-01	-1.900e-01	688.0			4861.00	150.00	-128.00	4.574	0.043	-0.054	0.7320	0.0800	-0.0630
127	Kepler-237 b	CONFIRMED	4.715103650	1.8740000e-05	-1.8740000e-05	1.50	1.700e-01	-1.300e-01	824.0			4861.00	150.00	-128.00	4.574	0.043	-0.054	0.7320	0.0800	-0.0630
132	Kepler-27 b	CONFIRMED	15.335259120	1.7980000e-05	-1.7980000e-05	4.94	2.700e-01	-1.800e-01	630.0			5325.00	107.00	-98.00	4.558	0.014	-0.042	0.8630	0.0460	-0.0330
133	Kepler-107 d	CONFIRMED	7.958302160	5.9830000e-05	-5.9830000e-05	1.07	3.000e-02	-4.000e-02	1075.0			5851.00	75.00	-75.00	4.192	0.019	-0.019	1.4110	0.0470	-0.0470
134	Kepler-27 c	CONFIRMED	31.330506220	3.5120000e-05	-3.5120000e-05	7.24	3.800e-01	-2.800e-01	496.0			5325.00	107.00	-98.00	4.558	0.014	-0.042	0.8630	0.0460	-0.0330
138	Kepler-238 e	CONFIRMED	23.653686210	1.7100000e-05	-1.7100000e-05	5.71	2.410e+00	-4.700e-01	625.0			5858.00	165.00	-193.00	4.495	0.038	-0.297	0.9630	0.4070	-0.0790
139	Kepler-238 d	CONFIRMED	13.233560080	5.0220000e-05	-5.0220000e-05	2.15	9.100e-01	-1.700e-01	759.0			5858.00	165.00	-193.00	4.495	0.038	-0.297	0.9630	0.4070	-0.0790
140	Kepler-238 c	CONFIRMED	6.155557560	2.7600000e-05	-2.7600000e-05	1.88	7.900e-01	-1.600e-01	980.0			5858.00	165.00	-193.00	4.495	0.038	-0.297	0.9630	0.4070	-0.0790
141	Kepler-238 b	CONFIRMED	2.090815650	1.0340000e-05	-1.0340000e-05	1.05	4.400e-01	-9.000e-02	1404.0			5858.00	165.00	-193.00	4.495	0.038	-0.297	0.9630	0.4070	-0.0790
142	Kepler-107 b	CONFIRMED	3.180024635	6.5640000e-06	-6.5640000e-06	1.55	6.000e-02	-5.000e-02	1460.0			5851.00	75.00	-75.00	4.192	0.019	-0.019	1.4110	0.0470	-0.0470
143	Kepler-238 f	CONFIRMED	50.447315600	7.2280000e-04	-7.2280000e-04	2.15	9.100e-01	-1.800e-01	486.0			5858.00	165.00	-193.00	4.495	0.038	-0.297	0.9630	0.4070	-0.0790
144	Kepler-239 b	CONFIRMED	11.763059460	2.0350000e-05	-2.0350000e-05	2.36	2.800e-01	-1.800e-01	614.0			4980.00	153.00	-132.00	4.608	0.028	-0.077	0.7340	0.0890	-0.0550
145	Kepler-239 c	CONFIRMED	56.227969700	3.0340000e-04	-3.0340000e-04	2.19	2.600e-01	-1.600e-01	365.0			4980.00	153.00	-132.00	4.608	0.028	-0.077	0.7340	0.0890	-0.0550
147	Kepler-240 c	CONFIRMED	7.953557170	1.7200000e-05	-1.7200000e-05	2.30	2.600e-01	-1.700e-01	712.0			4988.00	161.00	-138.00	4.586	0.028	-0.075	0.7660	0.0870	-0.0570
148	Kepler-240 b	CONFIRMED	4.144517760	1.3360000e-05	-1.3360000e-05	1.54	1.700e-01	-1.100e-01	884.0			4988.00	161.00	-138.00	4.586	0.028	-0.075	0.7660	0.0870	-0.0570
153	Kepler-242 b	CONFIRMED	8.203968700	1.4690000e-05	-1.4690000e-05	3.04	1.470e+00	-2.700e-01	742.0			5015.00	169.00	-128.00	4.499	0.074	-0.605	0.8260	0.3990	-0.0740
154	Kepler-242 c	CONFIRMED	14.496435310	5.4290000e-05	-5.4290000e-05	2.82	1.360e+00	-2.500e-01	613.0			5015.00	169.00	-128.00	4.499	0.074	-0.605	0.8260	0.3990	-0.0740
156	Kepler-241 b	CONFIRMED	12.718103170	2.4130000e-05	-2.4130000e-05	2.35	2.300e-01	-2.300e-01	562.0			4702.00	145.00	-128.00	4.592	0.055	-0.035	0.6860	0.0660	-0.0670
157	Kepler-241 c	CONFIRMED	36.065879160	9.9860000e-05	-9.9860000e-05	2.71	2.600e-01	-2.700e-01	397.0			4702.00	145.00	-128.00	4.592	0.055	-0.035	0.6860	0.0660	-0.0670
168	Kepler-245 b	CONFIRMED	7.490172290	1.0070000e-05	-1.0070000e-05	2.98	1.250e+00	-3.400e-01	821.0			5257.00	184.00	-146.00	4.460	0.097	-0.325	0.8740	0.3690	-0.0990
169	Kepler-245 d	CONFIRMED	36.275946570	8.3510000e-05	-8.3510000e-05	3.50	1.480e+00	-4.000e-01	485.0			5257.00	184.00	-146.00	4.460	0.097	-0.325	0.8740	0.3690	-0.0990
170	Kepler-245 c	CONFIRMED	17.460852630	4.6060000e-05	-4.6060000e-05	2.53	1.070e+00	-2.800e-01	619.0			5257.00	184.00	-146.00	4.460	0.097	-0.325	0.8740	0.3690	-0.0990
174	Kepler-243 b	CONFIRMED	5.715424850	7.4740000e-06	-7.4740000e-06	2.48	6.400e-01	-1.400e-01	842.0			5228.00	176.00	-143.00	4.585	0.019	-0.182	0.8110	0.2080	-0.0470
175	Kepler-108 b	CONFIRMED	49.183949220	3.8240000e-05	-3.8240000e-05	8.97	4.900e-01	-5.000e-01	706.0			5854.00	92.00	-92.00	3.900	0.035	-0.035	2.1920	0.1210	-0.1210
176	Kepler-243 c	CONFIRMED	20.026231000	1.0940000e-04	-1.0940000e-04	1.73	4.500e-01	-1.000e-01	554.0			5228.00	176.00	-143.00	4.585	0.019	-0.182	0.8110	0.2080	-0.0470
182	Kepler-244 b	CONFIRMED	4.311779906	4.4880000e-06	-4.4880000e-06	2.87	1.030e+00	-2.300e-01	986.0			5565.00	161.00	-152.00	4.574	0.030	-0.231	0.8020	0.2880	-0.0630
183	Kepler-244 d	CONFIRMED	20.050401570	8.7750000e-05	-8.7750000e-05	2.78	9.900e-01	-2.200e-01	591.0			5565.00	161.00	-152.00	4.574	0.030	-0.231	0.8020	0.2880	-0.0630
184	Kepler-244 c	CONFIRMED	9.767343650	2.9430000e-05	-2.9430000e-05	2.00	7.200e-01	-1.600e-01	751.0			5565.00	161.00	-152.00	4.574	0.030	-0.231	0.8020	0.2880	-0.0630
186	Kepler-108 c	CONFIRMED	190.321656400	6.1630000e-04	-6.1630000e-04	8.15	4.500e-01	-4.500e-01	449.0			5854.00	92.00	-92.00	3.900	0.035	-0.035	2.1920	0.1210	-0.1210
188	Kepler-82 b	CONFIRMED	26.444354560	3.9430000e-05	-3.9430000e-05	4.70	1.940e+00	-4.200e-01	588.0			5739.00	163.00	-164.00	4.488	0.050	-0.285	0.9280	0.3820	-0.0840
189	Kepler-82 c	CONFIRMED	51.539985420	5.9360000e-05	-5.9360000e-05	6.11	2.510e+00	-5.500e-01	471.0			5739.00	163.00	-164.00	4.488	0.050	-0.285	0.9280	0.3820	-0.0840
190	Kepler-82 e	CONFIRMED	5.902246921	7.3720000e-06	-7.3720000e-06	2.55	1.060e+00	-2.300e-01	970.0			5739.00	163.00	-164.00	4.488	0.050	-0.285	0.9280	0.3820	-0.0840
191	Kepler-82 d	CONFIRMED	2.382952186	3.0520000e-06	-3.0520000e-06	1.77	7.300e-01	-1.600e-01	1313.0			5739.00	163.00	-164.00	4.488	0.050	-0.285	0.9280	0.3820	-0.0840
194	Kepler-28 b	CONFIRMED	5.912268297	5.9830000e-06	-5.9830000e-06	1.92	3.000e-01	-3.100e-01	585.0			4072.00	720.00	-133.00	4.697	0.101	-0.101	0.5700	0.0900	-0.0900
195	Kepler-28 c	CONFIRMED	8.985847680	1.4830000e-05	-1.4830000e-05	1.94	3.000e-01	-3.100e-01	509.0			4072.00	720.00	-133.00	4.697	0.101	-0.101	0.5700	0.0900	-0.0900
198	Kepler-46 b	CONFIRMED	33.601220660	1.9730000e-05	-1.9730000e-05	8.83	4.600e-01	-5.000e-01	495.0			5149.00	107.00	-82.00	4.447	0.049	-0.037	0.9300	0.0480	-0.0530
199	Kepler-46 d	CONFIRMED	6.766520780	1.5030000e-05	-1.5030000e-05	2.17	1.100e-01	-1.300e-01	845.0			5149.00	107.00	-82.00	4.447	0.049	-0.037	0.9300	0.0480	-0.0530
201	Kepler-246 b	CONFIRMED	4.601816855	5.3460000e-06	-5.3460000e-06	2.37	5.800e-01	-1.600e-01	906.0			5202.00	172.00	-133.00	4.567	0.024	-0.160	0.8110	0.1970	-0.0540
202	Kepler-246 c	CONFIRMED	11.187140420	5.2260000e-05	-5.2260000e-05	1.56	3.700e-01	-1.100e-01	674.0			5202.00	172.00	-133.00	4.567	0.024	-0.160	0.8110	0.1970	-0.0540
205	Kepler-81 b	CONFIRMED	5.954897293	4.5270000e-06	-4.5270000e-06	1.98	2.700e-01	-2.600e-01	541.0			3896.00	237.00	-50.00	4.738	0.081	-0.081	0.5200	0.0700	-0.0700
206	Kepler-81 c	CONFIRMED	12.039914070	1.4980000e-05	-1.4980000e-05	1.87	2.500e-01	-2.600e-01	428.0			3896.00	237.00	-50.00	4.738	0.081	-0.081	0.5200	0.0700	-0.0700
207	Kepler-81 d	CONFIRMED	20.837663550	7.6980000e-05	-7.6980000e-05	1.02	1.400e-01	-1.400e-01	357.0			3896.00	237.00	-50.00	4.738	0.081	-0.081	0.5200	0.0700	-0.0700
210	Kepler-109 b	CONFIRMED	6.481628092	5.5470000e-06	-5.5470000e-06	2.29	7.000e-02	-6.000e-02	1150.0			5952.00	75.00	-75.00	4.212	0.015	-0.015	1.3230	0.0370	-0.0370
218	Kepler-247 c	CONFIRMED	9.439460801	4.8710000e-06	-4.8710000e-06	4.34	5.800e-01	-2.900e-01	690.0			5094.00	168.00	-134.00	4.589	0.023	-0.102	0.7910	0.1060	-0.0530
219	Kepler-95 b	CONFIRMED	11.523069953	9.1100000e-06	-9.1100000e-06	3.13	9.000e-02	-8.000e-02	934.0			5699.00	74.00	-74.00	4.171	0.014	-0.014	1.4150	0.0390	-0.0390
220	Kepler-247 d	CONFIRMED	20.477357490	1.8520000e-05	-1.8520000e-05	5.00	6.600e-01	-3.400e-01	533.0			5094.00	168.00	-134.00	4.589	0.023	-0.102	0.7910	0.1060	-0.0530
221	Kepler-247 b	CONFIRMED	3.336125104	6.2910000e-06	-6.2910000e-06	1.65	2.200e-01	-1.100e-01	975.0			5094.00	168.00	-134.00	4.589	0.023	-0.102	0.7910	0.1060	-0.0530
222	Kepler-54 b	CONFIRMED	8.010814780	1.5770000e-05	-1.5770000e-05	2.33	2.900e-01	-3.000e-01	453.0			3726.00	69.00	-71.00	4.784	0.077	-0.077	0.4700	0.0600	-0.0600
223	Kepler-54 c	CONFIRMED	12.071359490	4.3140000e-05	-4.3140000e-05	1.33	1.700e-01	-1.700e-01	395.0			3726.00	69.00	-71.00	4.784	0.077	-0.077	0.4700	0.0600	-0.0600
224	Kepler-54 d	CONFIRMED	20.995899590	7.5230000e-05	-7.5230000e-05	1.38	1.800e-01	-1.700e-01	329.0			3726.00	69.00	-71.00	4.784	0.077	-0.077	0.4700	0.0600	-0.0600
227	Kepler-75 b	CONFIRMED	8.884922680	1.4050000e-06	-1.4050000e-06	11.02	6.700e-01	-5.800e-01	770.0			5332.00	102.00	-98.00	4.500	0.043	-0.040	0.8430	0.0510	-0.0440
230	Kepler-448 b	CONFIRMED	17.855219698	3.7740000e-06	-3.7740000e-06	14.63	8.540e+00	-3.180e+00	942.0			6635.00	142.00	-214.00	4.193	0.145	-0.325	1.5160	0.8850	-0.3300
234	Kepler-55 d	CONFIRMED	2.211122847	3.7540000e-06	-3.7540000e-06	1.64	1.400e-01	-1.500e-01	952.0			4505.00	136.00	-126.00	4.610	0.051	-0.027	0.6580	0.0540	-0.0630
235	Kepler-55 b	CONFIRMED	27.953795900	2.1050000e-04	-2.1050000e-04	3.35	2.700e-01	-3.200e-01	409.0			4505.00	136.00	-126.00	4.610	0.051	-0.027	0.6580	0.0540	-0.0630
236	Kepler-110 b	CONFIRMED	12.691052090	2.2620000e-05	-2.2620000e-05	2.96	6.400e-01	-8.000e-01	1067.0			5887.00	114.00	-120.00	3.938	0.218	-0.120	1.8430	0.4010	-0.4980
238	Kepler-248 c	CONFIRMED	16.239467140	1.5090000e-05	-1.5090000e-05	4.22	3.600e-01	-1.300e-01	591.0			5130.00	97.00	-105.00	4.564	0.013	-0.087	0.8370	0.0710	-0.0260
239	Kepler-248 b	CONFIRMED	6.308203234	6.5970000e-06	-6.5970000e-06	3.16	2.700e-01	-1.000e-01	810.0			5130.00	97.00	-105.00	4.564	0.013	-0.087	0.8370	0.0710	-0.0260
241	Kepler-83 b	CONFIRMED	9.770451940	1.4450000e-05	-1.4450000e-05	2.37	2.700e-01	-2.700e-01	459.0			3893.00	102.00	-95.00	4.738	0.075	-0.075	0.5200	0.0600	-0.0600
242	Kepler-83 d	CONFIRMED	5.169809946	9.7500000e-06	-9.7500000e-06	1.81	2.100e-01	-2.100e-01	567.0			3893.00	102.00	-95.00	4.738	0.075	-0.075	0.5200	0.0600	-0.0600
243	Kepler-109 c	CONFIRMED	21.222585250	2.8080000e-05	-2.8080000e-05	2.50	7.000e-02	-7.000e-02	774.0			5952.00	75.00	-75.00	4.212	0.015	-0.015	1.3230	0.0370	-0.0370
244	Kepler-83 c	CONFIRMED	20.090200880	6.3060000e-05	-6.3060000e-05	2.06	2.300e-01	-2.400e-01	361.0			3893.00	102.00	-95.00	4.738	0.075	-0.075	0.5200	0.0600	-0.0600
